epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,9250.72,0.49047,0.40583,1.0673,0.94315,0.89422,0.91799,0.84844,0.4273,0.35705,1.0579,0.0005942,0.0005942,0.0005942
73,9381.6,0.47809,0.39679,1.05678,0.94801,0.89291,0.91878,0.849,0.42458,0.34379,1.05945,0.0005744,0.0005744,0.0005744
74,9510.56,0.48137,0.39142,1.0579,0.94863,0.89912,0.91877,0.85257,0.42029,0.34933,1.05001,0.0005546,0.0005546,0.0005546
75,9639.62,0.47657,0.38982,1.05993,0.9386,0.89912,0.91957,0.84784,0.4315,0.34864,1.06488,0.0005348,0.0005348,0.0005348
76,9769.66,0.47487,0.38995,1.05795,0.93373,0.90304,0.92234,0.85136,0.42763,0.3481,1.05909,0.000515,0.000515,0.000515
77,9898.55,0.47293,0.38534,1.05714,0.93629,0.89237,0.91891,0.85108,0.42064,0.34574,1.05304,0.0004952,0.0004952,0.0004952
78,10029.3,0.4716,0.38285,1.05283,0.94204,0.89153,0.91892,0.85172,0.41934,0.34747,1.05943,0.0004754,0.0004754,0.0004754
79,10157.1,0.47115,0.38587,1.05093,0.93467,0.8968,0.91846,0.84955,0.42971,0.34525,1.06213,0.0004556,0.0004556,0.0004556
80,10283.7,0.47023,0.38337,1.055,0.94305,0.89195,0.91656,0.849,0.42351,0.34525,1.06229,0.0004358,0.0004358,0.0004358
81,10408.8,0.46271,0.37964,1.04722,0.93939,0.89564,0.91551,0.85049,0.42469,0.34842,1.07038,0.000416,0.000416,0.000416
82,10536.6,0.46219,0.37661,1.0468,0.94184,0.89128,0.91733,0.85487,0.42043,0.34785,1.06211,0.0003962,0.0003962,0.0003962
83,10665.8,0.45977,0.37406,1.04779,0.93478,0.89841,0.91793,0.85329,0.41708,0.35388,1.05934,0.0003764,0.0003764,0.0003764
84,10796.5,0.45606,0.37378,1.04723,0.94217,0.89364,0.91384,0.85227,0.41771,0.34789,1.05845,0.0003566,0.0003566,0.0003566
85,10927.5,0.46333,0.37612,1.04908,0.93851,0.89693,0.91688,0.85462,0.41224,0.33985,1.05364,0.0003368,0.0003368,0.0003368
86,11058,0.44739,0.36665,1.0404,0.94338,0.8976,0.91989,0.85658,0.41232,0.34253,1.05339,0.000317,0.000317,0.000317
87,11187.4,0.45373,0.37144,1.04303,0.93846,0.90108,0.91881,0.85604,0.41442,0.34365,1.05581,0.0002972,0.0002972,0.0002972
88,11316.3,0.45214,0.36873,1.03723,0.94308,0.89255,0.91687,0.8546,0.41685,0.34302,1.05848,0.0002774,0.0002774,0.0002774
89,11446.2,0.443,0.36697,1.03655,0.94116,0.9001,0.91875,0.85433,0.4189,0.34498,1.06094,0.0002576,0.0002576,0.0002576
90,11575.5,0.44279,0.36062,1.03696,0.93877,0.9001,0.91908,0.85516,0.4169,0.35048,1.05804,0.0002378,0.0002378,0.0002378
91,11705.2,0.35938,0.29698,1.00263,0.9349,0.90013,0.91866,0.85523,0.41672,0.34345,1.05967,0.000218,0.000218,0.000218
92,11833,0.33984,0.27621,0.98446,0.9369,0.8952,0.91836,0.85674,0.40981,0.34007,1.05134,0.0001982,0.0001982,0.0001982
93,11959.9,0.33772,0.27215,0.97834,0.92669,0.90383,0.91913,0.85958,0.41115,0.3426,1.05167,0.0001784,0.0001784,0.0001784
94,12085.6,0.32953,0.26813,0.97689,0.93736,0.89406,0.91852,0.85964,0.40904,0.34181,1.04939,0.0001586,0.0001586,0.0001586
95,12212.2,0.32807,0.26208,0.97456,0.93436,0.89716,0.91866,0.85936,0.40987,0.34471,1.04826,0.0001388,0.0001388,0.0001388
96,12340,0.32452,0.26372,0.97059,0.93694,0.89226,0.91979,0.86042,0.40949,0.34229,1.05105,0.000119,0.000119,0.000119
97,12465.7,0.3227,0.26025,0.97534,0.93389,0.89932,0.92089,0.85954,0.40596,0.33785,1.04914,9.92e-05,9.92e-05,9.92e-05
98,12592.6,0.3222,0.2602,0.97452,0.9393,0.89226,0.92135,0.86044,0.40534,0.33659,1.04743,7.94e-05,7.94e-05,7.94e-05
99,12719.1,0.31954,0.25962,0.96857,0.93931,0.89444,0.92114,0.86186,0.40489,0.33768,1.04633,5.96e-05,5.96e-05,5.96e-05
100,12845.3,0.31564,0.25201,0.96251,0.93928,0.89397,0.92041,0.8619,0.40374,0.34125,1.04431,3.98e-05,3.98e-05,3.98e-05
